project_id,camera_check_tbl_id,camera_label,station_id,check_date,treatment,bait,feature,camera_status,media_recovered,quiet_period,battery,sensitivity,images_per_trigger,camera_height,camera_angle,camera_bearing,camera_distance,stop_date
MK,344,WC092,MK02,2019-08-29 00:00:00,"NE facing, deployed at 15:17",None,"Road, dirt",Active in field,t,0,100,100,1,1.63,0,0,,2019-11-11 00:00:00
MK,349,WC091,MK03,2019-08-30 00:00:00,"Facing SE, perpendicular to road",None,"Road, dirt",Active in field,t,0,100,100,1,0.82,0,0,,2020-05-29 00:00:00
MK,350,WC091,MK03,2020-05-29 00:00:00,"Facing SE, perpendicular to road",None,"Road, dirt",Active in field,t,0,100,100,1,0.82,0,0,,2020-07-23 00:00:00
MK,351,WC091,MK03,2020-07-23 00:00:00,"Facing SE, perpendicular to road",None,"Road, dirt",Active in field,t,0,100,100,1,0.82,0,0,,2020-08-25 00:00:00
MK,352,WC091,MK03,2020-08-25 00:00:00,"Facing SE, perpendicular to road",None,"Road, dirt",Active in field,t,0,100,100,1,0.82,0,0,,2021-04-11 00:00:00
MK,353,WC087,MK04,2019-08-30 00:00:00,Facing N,None,"Trail, game",Active in field,t,0,100,100,1,0.74,0,0,,2020-06-05 00:00:00
MK,369,WC096,MK10,2020-07-30 00:00:00,N-facing,None,"Trail, game",Active in field,t,0,100,100,1,0.83,0,0,,2020-09-01 00:00:00
MK,354,WC087,MK04,2020-06-05 00:00:00,Facing N,None,"Trail, game",Active in field,t,0,100,100,1,0.74,0,0,,2020-08-28 00:00:00
MK,355,WC087,MK04,2020-08-28 00:00:00,Facing N,None,"Trail, game",Active in field,t,0,100,100,1,0.74,0,0,,2021-05-28 00:00:00
MK,357,WC200,MK05,2020-06-05 00:00:00,Facing S,None,"Road, paved",Active in field,t,0,100,100,1,0.54,0,0,,2020-08-28 00:00:00
MK,358,WC200,MK05,2020-08-28 00:00:00,Facing S,None,"Road, paved",Active in field,t,0,100,100,1,0.54,0,0,,2021-05-28 00:00:00
